application_id,amount,created,date,id,kob,subcode,terms,type
115732a2527c01cb9f42975ea31a5691,,2016-04-30 00:00:00.000000,2014-09-25,225331_v4,BM,100000,UNK,31
4dca8cb59d547bbbec9fd2f962d46057,,2016-01-30 00:00:00.000000,2015-05-20,648488_v4,ZT,900000,UNK,29
81ba369595f97a13049c83a61dca947c,,2015-01-31 00:00:00.000000,2014-08-11,541568_v4,FY,900000,UNK,31
f041ded32bf59d77b6d4935ed0de21a3,,2015-07-29 00:00:00.000000,2015-05-28,592278_v4,BC,800000,UNK,31
3cba30f250c3b6a6d0952636be269c9a,,2015-04-29 00:00:00.000000,2013-06-05,347147_v4,FR,0,UNK,08
e3480273356d5cce8fa9906cb74851b1,,2015-04-29 00:00:00.000000,2013-04-09,217340_v4,FC,700000,UNK,31
0de9ebd2b181f9bc5b8c96414fe32a4b,,2016-04-30 00:00:00.000000,2014-11-06,443207_v4,FM,900000,UNK,08
6e2e9e0fd3d07e8617f71634bda0b8a0,,2015-07-29 00:00:00.000000,2015-06-20,419231_v4,TZ,300000,UNK,31
baf3902d1935717956d1e2a86497d512,,2015-01-31 00:00:00.000000,2013-11-25,621602_v4,FC,700000,UNK,08
590c4facd77439dac602b0bff0140b24,,2016-04-30 00:00:00.000000,2015-03-04,313162_v4,AU,200000,UNK,00
0b1f5096be8e8b02bba9d5ff243eff5c,,2016-01-30 00:00:00.000000,2015-04-29,455521_v4,FR,900000,UNK,08
20e467f7edbf498084a249538daeaa47,,2015-07-29 00:00:00.000000,2014-11-14,357700_v4,FC,700000,UNK,31
1b7f4c3966a771cbc0779a7231f21c12,,2015-01-31 00:00:00.000000,2013-11-25,592844_v4,FC,700000,UNK,31
2e2843d12772921fa5520b789b81823e,,2016-04-30 00:00:00.000000,2015-06-25,105753_v4,FR,900000,UNK,08
9845c7d9f0d6c93996463e908c3c0396,,2016-01-30 00:00:00.000000,2015-12-12,202742_v4,BC,200000,UNK,31
106184f2bdaa6d9249afa22ec0899ca2,,2015-04-29 00:00:00.000000,2015-02-03,407136_v4,FR,200000,UNK,26
4193fa4845f824bf41e76b4f4d33d3b5,,2015-01-31 00:00:00.000000,2014-01-20,117626_v4,ZF,800000,UNK,15
adf54a4320f84a1aac6bda4ad223a749,,2014-04-30 00:00:00.000000,2012-09-25,150661_v4,FR,0,UNK,08
80efab3183ff11e461e8688b9dc26cbd,,2016-01-30 00:00:00.000000,2014-12-16,432152_v4,FA,600000,UNK,00
2763b5c7fa9f2bc2d0654e7a71956e18,,2015-01-31 00:00:00.000000,2014-02-21,329098_v4,FR,900000,UNK,08
221bbba09d9aede8524385bad54a2a20,,2015-07-29 00:00:00.000000,2015-06-26,604611_v4,FR,900000,UNK,08
e9862b9000eb1eb7ed907f14050fd021,,2014-04-30 00:00:00.000000,2012-10-12,314618_v4,FM,900000,UNK,26
46666247932cd3fa5f312a114c866258,,2014-04-30 00:00:00.000000,2013-09-30,91842_v4,BB,100000,UNK,31
abdcb4078ca6b3e56c733ccdcb63ee90,,2016-04-30 00:00:00.000000,2015-12-16,111352_v4,FC,200000,UNK,00
6f19d961c160955996cca9226d223886,,2016-04-30 00:00:00.000000,2015-11-21,43701_v4,FA,200000,UNK,00
9175925f986ca764622c14e38bc3edbb,,2014-04-30 00:00:00.000000,2014-03-14,641421_v4,FF,200000,UNK,31
5bc7458e3d8768c3aaf6477ecd3c5bd6,,2015-07-29 00:00:00.000000,2014-07-13,565175_v4,CZ,900000,UNK,31
99768cb6ef26c8f517e24461a6af99ad,,2014-04-30 00:00:00.000000,2013-06-28,15015_v4,BC,800000,UNK,31
7de34b232246edcec02ea9172b1a3c39,,2014-04-30 00:00:00.000000,2013-11-11,421368_v4,FA,600000,UNK,31
12c497af7fb5b16c188e897dd9700fc6,,2016-04-30 00:00:00.000000,2015-08-13,480966_v4,BC,200000,UNK,31
0432afa178962b1faf60a07dbef8855f,,2016-01-30 00:00:00.000000,2014-10-07,143937_v4,BC,200000,UNK,31
909706cf81e2e7c410786a1d11db7379,,2015-01-31 00:00:00.000000,2014-02-01,610209_v4,ZT,900000,UNK,29
f941ca6473dd25f54f44990c3d40eb59,,2015-01-31 00:00:00.000000,2014-10-17,33816_v4,FZ,900000,UNK,31
b325e0011604dc3cb80c904f75d12145,,2016-04-30 00:00:00.000000,2016-12-05,31577_v4,FF,200000,UNK,31
1f3088f22ba8b4aa9712a581787566ae,,2015-01-31 00:00:00.000000,2013-08-14,96525_v4,BC,200000,UNK,31
09f9943cddc4c19ef0e6d7932fec1099,,2015-04-29 00:00:00.000000,2015-03-31,516685_v4,FR,900000,UNK,08
a85836c3fbd2f6424a9515fc04397bef,,2016-01-30 00:00:00.000000,2014-02-05,656785_v4,FA,600000,UNK,31
5b0587c83fb42bf3309480dd3919dfc7,,2014-04-30 00:00:00.000000,2013-02-21,524471_v4,FZ,900000,UNK,31
ef8b6637d7e7716fa43cc0c05156eace,,2015-01-31 00:00:00.000000,2014-02-25,322934_v4,FA,600000,UNK,00
64071ab884f2b07fe5cbe9b0d3b95ba0,,2015-01-31 00:00:00.000000,2014-02-28,470225_v4,FR,900000,UNK,08
7bedab06fc09ba1d4094605f30f67a39,,2015-04-29 00:00:00.000000,2013-06-18,243670_v4,BC,900000,UNK,31
282ab87e98c25f3921cc606e1a3e57d0,,2016-04-30 00:00:00.000000,2014-12-05,558573_v4,DZ,300000,UNK,31
076dfbf383ed7ecbafa62085539bc962,,2016-04-30 00:00:00.000000,2015-04-27,501727_v4,ZF,700000,UNK,15
d15408d0dea144ebb7aefd86cc377320,,2015-04-29 00:00:00.000000,2014-09-01,516700_v4,AU,100000,UNK,00
e38269927d36957851e4930741261e7a,,2016-04-30 00:00:00.000000,2014-05-01,101700_v4,BC,800000,UNK,31
ebde6343720cf2841482d0aa0bb57f3d,,2016-01-30 00:00:00.000000,2015-06-15,127647_v4,FA,500000,UNK,31
9449cef14755e07938641806cff03f76,,2015-04-29 00:00:00.000000,2014-07-15,604167_v4,FR,900000,UNK,08
2b94cbac53cd84bc6e2569535fbab452,,2015-04-29 00:00:00.000000,2014-04-01,322784_v4,FP,500000,UNK,31
275ee125749dbf8c11457593d85f0eab,,2016-04-30 00:00:00.000000,2014-08-04,445519_v4,FA,600000,UNK,31
fa3105546c408d68d58c0cf18e97d8fc,,2016-04-30 00:00:00.000000,2015-04-02,395084_v4,HF,900000,UNK,31
10a2f1cc3c44d8a8ebef63018bb5879b,,2015-01-31 00:00:00.000000,2014-08-12,648751_v4,FR,900000,UNK,08
348a82b689fc9268a593498155bb15e4,,2015-07-29 00:00:00.000000,2014-05-06,215357_v4,FC,700000,UNK,31
83cdafd2fa01781f5dc155ee1d872e13,,2015-04-29 00:00:00.000000,2014-02-10,113670_v4,BC,200000,UNK,31
79fac90600c1b5eed7f07a8b130a7c72,,2016-04-30 00:00:00.000000,2016-04-06,337056_v4,FA,600000,UNK,00
cc44029e82af2d107e9c4bcc4b2526f1,,2016-01-30 00:00:00.000000,2015-11-14,422469_v4,BC,100000,UNK,31
8eb4b4d6bce6b6ff75f36c69ea95e988,,2014-04-30 00:00:00.000000,2012-07-05,247038_v4,FC,700000,UNK,02
063e694a5d9ed796dba08a4872426640,,2015-04-29 00:00:00.000000,2015-03-31,363918_v4,AU,100000,UNK,00
e0d9297194b01466fccae1eceaf9ec5a,,2015-01-31 00:00:00.000000,2013-08-28,122040_v4,FA,600000,UNK,31
f1862cc0c6d0dff9423199f852f03d3f,,2016-01-30 00:00:00.000000,2015-02-11,237143_v4,BB,900000,UNK,01
a609f956716887785fe7829ae2d0bbde,,2015-01-31 00:00:00.000000,2013-03-12,163550_v4,FR,0,UNK,08
8f28980f52e388d406524a1ac9a19be0,,2015-07-29 00:00:00.000000,2013-09-05,207220_v4,FM,900000,UNK,08
087790f8936cb7e98b17c752e9cbfc60,,2015-07-29 00:00:00.000000,2014-11-12,286969_v4,FC,700000,UNK,31
ab6d3f770168e67cd24ea0b476486c7c,,2016-01-30 00:00:00.000000,2014-01-10,200386_v4,FC,700000,UNK,11
c762e449ac4fcd31897ed2b62b320b8c,,2016-04-30 00:00:00.000000,2016-04-20,423426_v4,ZA,900000,UNK,00
9df4b86ba83da04bfae75bc771226f27,,2015-07-29 00:00:00.000000,2014-12-01,440489_v4,BB,100000,UNK,31
9f604dae14bf227bfa4549577a598f2c,,2015-01-31 00:00:00.000000,2014-05-16,355605_v4,BC,900000,UNK,31
0a155a43a0462538501a914aea6f5777,,2015-04-29 00:00:00.000000,2014-12-19,534463_v4,BC,200000,UNK,31
f6700fa002e6858132f37842ca0e2a47,,2015-01-31 00:00:00.000000,2015-12-08,391389_v4,FR,900000,UNK,08
ca36c77d7af55f9eea2bd451bbf0a084,,2015-01-31 00:00:00.000000,2014-12-15,492423_v4,FF,200000,UNK,31
a3f2ad82c164de0231295854799dfced,,2015-07-29 00:00:00.000000,2015-07-22,465923_v4,BC,800000,UNK,31
b23cd9d9d02f511543f6528ee8d0b69e,,2016-01-30 00:00:00.000000,2015-08-19,549305_v4,FA,600000,UNK,31
0ea6f86544ff9728464227ac64f5a951,,2015-07-29 00:00:00.000000,2015-06-19,145891_v4,BC,100000,UNK,31
9f216a33c6700c1f6efbb19d94e1b587,,2016-04-30 00:00:00.000000,2015-07-10,8920_v4,FA,200000,UNK,00
49d90ff720b1b3a535feb90abffd7033,,2016-04-30 00:00:00.000000,2015-03-13,646732_v4,FM,700000,UNK,08
243fb7e8319457a4d839439d69a8d3b9,,2015-01-31 00:00:00.000000,2014-12-31,483296_v4,FA,200000,UNK,31
e6d759a6b92db51a3908e19894a250e9,,2014-04-30 00:00:00.000000,2012-05-23,155070_v4,FC,700000,UNK,31
36962feef80336bcce367db20b26213c,,2014-04-30 00:00:00.000000,2013-08-17,662183_v4,SM,0,UNK,31
21ea9dc6336edc6cdf167f974dfbaac0,,2015-01-31 00:00:00.000000,2013-09-05,606889_v4,FC,700000,UNK,31
5ed01c6f25ad452f3c0986188b34767a,,2015-07-29 00:00:00.000000,2014-07-16,320567_v4,ZT,600000,UNK,29
41921084ca4ee3b412cb4de4e8d0bb12,,2016-04-30 00:00:00.000000,2016-04-19,533487_v4,FZ,0,UNK,31
6edd9fb74855e31df654147e197c5521,,2016-04-30 00:00:00.000000,2014-08-30,590241_v4,FC,700000,UNK,31
36a2c230218581eafa58c996e8ae4406,,2015-04-29 00:00:00.000000,2014-09-15,83297_v4,BB,100000,UNK,31
b0bda537073a2f12fba0e9cbf879df46,,2015-04-29 00:00:00.000000,2013-04-20,126146_v4,RD,900000,UNK,29
5035659f46b1401a552a6c1dbe02d6a9,,2015-07-29 00:00:00.000000,2014-07-07,611927_v4,FF,600000,UNK,31
aed25ab3ab4db73269b43d04517e5b1f,,2015-01-31 00:00:00.000000,2014-05-20,21285_v4,BC,200000,UNK,31
e47f5f073ade53bad13a017109087947,,2016-04-30 00:00:00.000000,2015-04-18,120429_v4,FP,500000,UNK,31
f33cbd7dde5d6e2f7b04c6ee5cc114c8,,2015-04-29 00:00:00.000000,2013-07-01,388799_v4,BB,100000,UNK,31
e939bd4f797438bf39ba11afc7e9968d,,2015-01-31 00:00:00.000000,2013-10-05,77347_v4,FA,600000,UNK,31
e35ab1efbd67f4608cdd202970e9ae69,,2015-04-29 00:00:00.000000,2015-11-03,318233_v4,BC,200000,UNK,31
05f3bd7e6f46fb7b1ef70ddb21cf1de4,,2014-04-30 00:00:00.000000,2012-09-25,434973_v4,FC,700000,UNK,31
7bd804e359f786fd7cdd0a79f1ba150f,,2015-01-31 00:00:00.000000,2013-11-27,430260_v4,FP,500000,UNK,31
cd03961e110bb4023f4a667d5b63ebca,,2014-04-30 00:00:00.000000,2013-06-21,341919_v4,BC,200000,UNK,31
237f9c47409bbea7fd17916c9296e609,,2016-04-30 00:00:00.000000,2015-10-24,558989_v4,FF,200000,UNK,31
f0b0301442a54d9624a48fe2f97421af,,2015-04-29 00:00:00.000000,2015-04-17,78760_v4,BC,200000,UNK,31
b119ab1537431e6ccdcc6b61a6431973,,2014-04-30 00:00:00.000000,2012-08-27,59703_v4,UW,900000,UNK,92
6348f49d19ccbf2d072910dc700f48da,,2015-07-29 00:00:00.000000,2015-03-05,4921_v4,FR,900000,UNK,08
39ea950d173d6884e3ef72e184114d48,,2016-01-30 00:00:00.000000,2015-07-26,657280_v4,BB,100000,UNK,31
c41284771959adb986e2c1b66fcbe7d1,,2014-04-30 00:00:00.000000,2013-02-11,40016_v4,AU,400000,UNK,00
4342b297d1149347003acfafd2b02143,,2015-07-29 00:00:00.000000,2014-05-05,396910_v4,FP,500000,UNK,31
2f158a0a00b904756840f921d3879877,,2015-07-29 00:00:00.000000,2013-09-26,607593_v4,FA,600000,UNK,31
